id,setId,name,faction,mainDeck,cost,type,subtype,sets,atk,hp,keywords,flip,face,singularity,description,imageId
dcs_02_010ex,DCS-02-010 EX,Exsanguinate,Red,Persona,0,Action,Blood Tithe,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",,,"blood tithe, heal, deal",FALSE,1,FALSE,"[BLOOD TITHE 3]: Deal 2 damage to target Character, then [HEAL 2] target Vampire.",dcs_02_010_ex
sd_02_006ex,SD-02-006 EX,Mark of the Favored,Red,Persona,0,Action,Blood Tithe,Structure Deck: Blood Harvest,,,"blood tithe, buff",FALSE,1,FALSE,"[BLOOD TITHE 3]: Target Supporter gets +1 ATK and “Whenever this card would take damage, deal that many damage to your Protagonist instead.” until end of turn.",sd_02_006_ex
dcs_02_011ex,DCS-02-011 EX,Pact for Knowledge,Red,Persona,0,Action,Blood Tithe,Dawn of the Celestial Shadow,,,"blood tithe, draw, reorder",FALSE,1,FALSE,"[BlOOD TITHE 3]: Look at the top 4 cards of your deck. Add one to your hand, then put the rest on the bottom of your deck.",dcs_02_011_ex
dcs_02_012n,DCS-02-012 N,Heirs of the Subservient Lineage,Red,Deck,1,Character,Supporter,Dawn of the Celestial Shadow,0,2,"blood tithe, shatter, deal, pay, graveyard, put into play",FALSE,1,FALSE,"[SHATTER]: If this card was shattered to pay a [BLOOD TITHE], you may PAY 1 or deal 2 damage to your Protagonist. If you do, return this card from your graveyard to play.",dcs_02_012_n
dcs_02_013n,DCS-02-013 N,Crowd Instigator,Red,Deck,1,Character,Supporter,Dawn of the Celestial Shadow,1,1,"frazzle, buff",FALSE,1,FALSE,FRAZZLE: Target Character gets +1 ATK until end of turn.,dcs_02_013_n
dcs_02_014n,DCS-02-014 N,Naive Suitor,Red,Deck,1,Character,Supporter,Dawn of the Celestial Shadow,1,1,"shatter, buff",FALSE,1,FALSE,"[SHATTER]: Look at the top card of your deck. If it’s a Vampire, reveal it, and add it to your hand.
If you control a Vampire, this card gets +1 ATK.",dcs_02_014_n
dcs_02_015n,DCS-02-015 N,Young Vampire,Red,Deck,1,Character,Vampire,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",1,1,"preemptive strike, buff, blood tithe, graveyard",FALSE,1,FALSE,"If there is a Blood Tithe in your graveyard, this card gets +1 ATK and [PREEMPTIVE STRIKE].",dcs_02_015_n
dcs_02_016n,DCS-02-016 N,Sly Informant,Red,Deck,1,Character,Supporter,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",2,2,"isolate, shatter",FALSE,1,FALSE,"[ISOLATE]
[SHATTER]: Deal 1 damage to your Protagonist.",dcs_02_016_n
dcs_02_017n,DCS-02-017 N,Sacrificial Maiden,Red,Deck,2,Character,Supporter,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",0,2,"shatter, breakthrough, buff",FALSE,1,FALSE,[SHATTER]: Target Vampire gets +2 ATK and [BREAKTHROUGH] until end of turn.,dcs_02_017_n
dcs_02_018n,DCS-02-018 N,Pain Fanatic,Red,Deck,2,Character,Supporter,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",0,6,buff,FALSE,1,FALSE,This card gets +1 ATK for each damage on it.,dcs_02_018_n
dcs_02_019n,DCS-02-019 N,Tithe Enthusiast,Red,Deck,2,Character,Vampire,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",1,2,"buff, blood tithe",FALSE,1,FALSE,This card gets +1 ATK for each Blood Tithe in your graveyard.,dcs_02_019_n
dcs_02_020n,DCS-02-020 N,Estate Chauffeur,Red,Deck,2,Character,Supporter,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",2,1,"assault, enter, search, put into play",FALSE,1,FALSE,"[ASSAULT]
[ENTER]: If you don’t control another Supporter, search your deck for a Supporter that costs 1 or less and put it into play.",dcs_02_020_n
sd_02_013n,SD-02-013 N,"Gennaro, Unreliable Bully",Red,Deck,2,Character,Supporter,Structure Deck: Blood Harvest,4,3,shatter,FALSE,1,TRUE,"If another Character you control is shattered, retire this card.",sd_02_013_n
dcs_02_021n,DCS-02-021 N,Secret Police Officer,Red,Deck,2,Character,Vampire,Dawn of the Celestial Shadow,2,2,"blood tithe, buff",FALSE,1,FALSE,[BLOOD TITHE 2]: This card gets +2 ATK until end of turn. Activate this ability only during your main phase and only once per turn.,dcs_02_021_n
dcs_02_022n,DCS-02-022 N,Ravenous Vampire,Red,Deck,2,Character,Vampire,Dawn of the Celestial Shadow,2,3,"blood tithe, heal, frazzle",FALSE,1,FALSE,[BLOOD TITHE 2]: This card gets +2 ATK until end of turn. Activate this ability only during your main phase and only once per turn.,dcs_02_022_n
dcs_02_023n,DCS-02-023 N,Corpses' Bride,Red,Deck,3,Character,Officer,Dawn of the Celestial Shadow,0,2,"buff, graveyard",FALSE,1,FALSE,This card gets +1 ATK for each Character in your graveyard.,dcs_02_023_n
dcs_02_024n,DCS-02-024 N,Daughters of Aristocracy,Red,Deck,3,Character,Vampire,Dawn of the Celestial Shadow,2,4,"buff, preemptive strike, blood tithe",FALSE,1,FALSE,"[PREEMPTIVE STRIKE]
Whenever a Character is shattered by a Vampire or to pay a [BLOOD TITHE], this card gets +2 ATK until end of turn.",dcs_02_024_n
dcs_02_025n,DCS-02-025 N,Bloodthirsty Fighter,Red,Deck,3,Character,Vampire,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",3,3,"assault, heal",FALSE,1,FALSE,"[ASSAULT]
Whenever this card shatters an opposing Character while attacking, [HEAL 2] this card.",dcs_02_025_n
dcs_02_026n,DCS-02-026 N,Deranged Officer,Red,Deck,3,Character,Vampire,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",3,3,"blood tithe, buff, explosion",FALSE,1,FALSE,[BLOOD TITHE 2]: This card gets +1 ATK and [EXPLOSION 1]. Activate this ability only once per turn.,dcs_02_026_n
dcs_02_027n,DCS-02-027 N,Dominant Interrogator,Red,Deck,3,Character,Vampire,Dawn of the Celestial Shadow,3,3,"isolate, heal, shatter",FALSE,1,FALSE,"[ISOLATE]
Whenever a Character you control is shattered, leave it in play until end of turn.
Whenever a Character you control leaves play, [HEAL 1] this card.",dcs_02_027_n
dcs_02_028n,DCS-02-028 N,Lone Hunter,Red,Deck,3,Character,Vampire,Dawn of the Celestial Shadow,4,3,"blood tithe, heal, deal",FALSE,1,FALSE,"[BLOOD TITHE 3]: Deal 1 damage to target Character, then [HEAL 1] this card. Activate this ability only once per turn.",dcs_02_028_n
dcs_02_029n,DCS-02-029 N,Lounge Singer,Red,Deck,3,Character,Vampire,Dawn of the Celestial Shadow,5,5,"isolate, debuff",FALSE,1,FALSE,"[ISOLATE]
This card gets -1 ATK and -1 HP for every other Character you control.",dcs_02_029_n
sd_02_016n,SD-02-016 N,Information Decryptor,Red,Deck,4,Character,Vampire,Structure Deck: Blood Harvest,3,3,"isolate, heal, assault",FALSE,1,FALSE,"[ISOLATE]
Cards with [ISOLATE] you control get [ASSAULT] and “Whenever this card shatters an opposing Character while attacking, [HEAL 1] this card”.",sd_02_016_n
dcs_02_030n,DCS-02-030 N,Progenitor's Housekeeper,Red,Deck,4,Character,Vampire,Dawn of the Celestial Shadow,3,4,"buff, preemptive strike",FALSE,1,FALSE,"If your Protagonist is a Vampire, both it and this card get +1 ATK and [PREEMPTIVE STRIKE].",dcs_02_030_n
dcs_02_031n,DCS-02-031 N,Raider of Regime,Red,Deck,4,Character,Vampire,Dawn of the Celestial Shadow,4,4,"isolate, preemptive strike",FALSE,1,FALSE,[ISOLATE] [PREEMPTIVE STRIKE],dcs_02_031_n
dcs_02_032n,DCS-02-032 N,Twins of the Household,Red,Deck,4,Character,Vampire,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",5,4,"enter, blood tithe, isolate, assault",FALSE,1,FALSE,"[ENTER]: If a Character was shattered this turn by a Vampire or to pay a [BLOOD TITHE], this card gets [ASSAULT] and [ISOLATE] until end of turn.",dcs_02_032_n
dcs_02_033n,DCS-02-033 N,"Isabella, First Descendant",Red,Deck,5,Character,Vampire,"Dawn of the Celestial Shadow, Structure Deck: Blood Harvest",6,5,"enter, isolate",FALSE,1,TRUE,"[ISOLATE]
[ENTER]: You can play a Blood Tithe from your Persona Deck.",dcs_02_033_n
dcs_02_034n,DCS-02-034 N,Growing Suspicions,Red,Deck,1,Scenography,Concept,Dawn of the Celestial Shadow,,3,"isolate, debuff, buff, retire",FALSE,1,FALSE,"Whenever an opposing Character is shattered by a card with [ISOLATE] you control, all opposing cards get -1 ATK until end of turn.
Retire this card: Target card with [ISOLATE] gets +1 ATK until end of turn.",dcs_02_034_n
dcs_02_035n,DCS-02-035 N,Progenitor's Estate,Red,Deck,2,Scenography,Building,Dawn of the Celestial Shadow,,4,buff,FALSE,1,FALSE,"Vampires you control gets +1 ATK.
Supporters you control gets +1 HP.",dcs_02_035_n
dcs_02_036n,DCS-02-036 N,Sacrifice Offering,Red,Deck,0,Action,Action,Dawn of the Celestial Shadow,,,"shatter, heal, reorder",FALSE,1,FALSE,"Shatter target Supporter you control: [HEAL 2] target Vampire, then look at the top card of your deck. You may put it at the bottom of your deck. Copy this ability X times, where X is the cost of the supporter shattered this way.",dcs_02_036_n
dcs_02_037n,DCS-02-037 N,Vigor of Nourishment,Red,Deck,0,Action,Action,Dawn of the Celestial Shadow,,,buff,FALSE,1,FALSE,Target Vampire gets +1 ATK until end of turn.,dcs_02_037_n
dcs_02_038n,DCS-02-038 N,Curse of the Occult Arts,Red,Deck,2,Action,Action,Dawn of the Celestial Shadow,,,"deal, debuff",FALSE,1,FALSE,"Deal 2 damage to target Character. If it didn’t shatter, it gets -1 ATK until end of turn.",dcs_02_038_n
dcs_01_001ex,DCS-01-001 EX,"Athrias, the Chosen One",Green,Protagonist,7,Protagonist,Hero,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",0,20,"buff, quest, put into play",FALSE,1,TRUE,"This card gets +1 ATK for each Relic you control.
Remove X Quest counters: Put target Relic that costs X from your Persona Deck into play. Activate this ability only during your main phase and only once per turn.",dcs_01_001_ex
dcs_01_002ex,DCS-01-002 EX,"Eleanor, Guildmaster",Green,Protagonist,8,Protagonist,Adventurer,Dawn of the Celestial Shadow,,18,"quest, cost reduction, put into play",FALSE,1,TRUE,"Remove 1 Quest counter: The next card you play this turn costs 1 less. Activate this ability only once per turn.
Remove X Quest counters: Put target Relic that costs X from your Persona Deck into play. Activate this ability only during your main phase and only once per turn.",dcs_01_002_ex
dcs_01_003ex,DCS-01-003 EX,War Horn,Green,Persona,2,Scenography,Relic,Dawn of the Celestial Shadow,,3,"worn, buff, frazzle",FALSE,1,FALSE,"[WORN]: The wearer of this card gets “When this card attacks, you may place an additional Frazzle counter on this card. If you do, this card and all adjacent Characters gets +1 ATK until end of turn”.",dcs_01_003_ex
dcs_01_004ex,DCS-01-004 EX,Hero's Banner,Green,Persona,3,Scenography,Relic,Dawn of the Celestial Shadow,,3,"imperishable, cost reduction",FALSE,1,FALSE,"[IMPERISHABLE]
Remove X Glory counter: The next card you play this turn costs X less.
Whenever a Character you control shatters an opposing Character while attacking, place 1 Glory counter on this card.",dcs_01_004_ex
dcs_01_005ex,DCS-01-005 EX,Hunting Trophy,Green,Persona,3,Scenography,Relic,Dawn of the Celestial Shadow,,3,"quest, draw",FALSE,1,FALSE,"Whenever an opposing Character that costs 5 or more is shattered, [QUEST 1], then draw 1 card.",dcs_01_005_ex
dcs_01_006ex,DCS-01-006 EX,Pendant of the Seer Stones,Green,Persona,3,Scenography,Relic,Dawn of the Celestial Shadow,,3,"imperishable, worn, frazzle, reorder",FALSE,1,FALSE,"[IMPERISHABLE]
WORN Protagonist]: The wearer of this card gets “FRAZZLE: Look at the top card of your deck. You may put it at the bottom of your deck”.",dcs_01_006_ex
dcs_01_007ex,DCS-01-007 EX,Pledge of Divine Blessing,Green,Persona,3,Scenography,Relic,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",,3,"imperishable, rapid recovery, regeneration",FALSE,1,FALSE,"[IMPERISHABLE]
Heroes you control get [RAPID RECOVERY] and [REGENERATION 1].",dcs_01_007_ex
sd_01_003ex,SD-01-003 EX,Shield of the Royal Arms,Green,Persona,3,Scenography,Relic,Structure Deck: the Hero's Journey,,3,"imperishable, worn, barrier, shield",FALSE,1,FALSE,"[IMPERISHABLE]
[WORN Hero or Adventurer]: The wearer of this card gets “Whenever this card attacks, it gets [BARRIER] and [SHIELD 3] until the end of the combat phase”.",sd_01_003_ex
dcs_01_008ex,DCS-01-008 EX,Draconic Armor,Green,Persona,4,Scenography,Relic,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",,3,"imperishable, worn, shield",FALSE,1,FALSE,"[IMPERISHABLE]
[WORN Hero or Demon]: The wearer of this card gets [SHIELD 1] and “This card cannot take more than 5 damage from a single source”.",dcs_01_008_ex
dcs_01_009ex,DCS-01-009 EX,"Larendil, the Holy Sword",Green,Persona,4,Scenography,Relic,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",,3,"imperishable, worn, explosion, buff",FALSE,1,TRUE,"[IMPERISHABLE]
WORN Hero]: The wearer of this card gets +1 ATK and [EXPLOSION 1].",dcs_01_009_ex
dcs_01_010ex,DCS-01-010 EX,Ring of the Sacred Heir,Green,Persona,4,Scenography,Relic,Dawn of the Celestial Shadow,,3,"imperishable, worn, frazzle",FALSE,1,FALSE,"[IMPERISHABLE]
[WORN Hero]: The wearer of this card gets “FRAZZLE: Deal 1 damage to target Character”.",dcs_01_010_ex
dcs_01_011ex,DCS-01-011 EX,"Tome of the Celestial Sword, Vol. 1",Green,Persona,5,Scenography,Relic,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",,3,"imperishable, breakthrough, preemptive strike, frazzle, buff",FALSE,1,FALSE,"[IMPERISHABLE]
Heroes you control get +1 ATK.
FRAZZLE: Target Hero gets [BREAKTHROUGH] or [PREEMPTIVE STRIKE] until end of turn.",dcs_01_011_ex
dcs_01_012n,DCS-01-012 N,Guild Personnel,Green,Deck,1,Character,Commoner,Dawn of the Celestial Shadow,1,1,draw,FALSE,1,FALSE,"Whenever a card you control shatters an opposing Character while attacking, draw 1 card.",dcs_01_012_n
dcs_01_013n,DCS-01-013 N,"Keldan, Dauntless Explorer",Green,Deck,1,Character,Adventurer,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",1,1,"enter, quest, graveyard",FALSE,1,TRUE,"[ENTER]: [QUEST 1]
Whenever a Scenography you control is shattered, return this card from your graveyard to your hand.",dcs_01_013_n
dcs_01_014n,DCS-01-014 N,Villager in Peril,Green,Deck,1,Character,Commoner,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",1,1,"quest, enter, shatter",FALSE,1,FALSE,"[ENTER]: [QUEST 1]
[SHATTER]: [QUEST 1]",dcs_01_014_n
dcs_01_015n,DCS-01-015 N,"Julia, Scarlet Swordwoman",Green,Deck,2,Character,Adventurer,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",1,1,"quest, enter, assault, buff",FALSE,1,TRUE,"[ASSAULT]
[ENTER]: [QUEST 1]
This card gets +1 ATK and +1 HP for each Quest counter on your Protagonist, up to a maximum of +3.",dcs_01_015_n
dcs_01_016n,DCS-01-016 N,"Altea, Heir of the Celestial Sword",Green,Deck,2,Character,Hero,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",2,3,"quest, enter, buff",FALSE,1,TRUE,"[ENTER]: [QUEST 1]
This card gets +1 ATK and +1 HP for each Relic not Worn by your Protagonist.",dcs_01_016_n
dcs_01_017n,DCS-01-017 N,"Oriana, Brash Mercenary",Green,Deck,2,Character,Adventurer,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",3,3,"rapid recovery, regeneration, quest",FALSE,1,TRUE,"[RAPID RECOVERY] [REGENERATION 1]
Whenever this card shatters an opposing Character while attacking, [QUEST 1].",dcs_01_017_n
dcs_01_018n,DCS-01-018 N,"Gordon, Immovable Guardian",Green,Deck,3,Character,Adventurer,Dawn of the Celestial Shadow,1,5,"guard, enter, quest",FALSE,1,TRUE,"[GUARD]
[ENTER]: [QUEST 1]",dcs_01_018_n
dcs_01_019n,DCS-01-019 N,"Liselle, Holy Maiden",Green,Deck,3,Character,Cleric,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",2,2,"quest, enter, heal",FALSE,1,TRUE,"[ENTER]: [QUEST 1], then [HEAL X] target card, where X is the number of Quest counters on your Protagonist.",dcs_01_019_n
dcs_01_020n,DCS-01-020 N,"Vadriel, Veteran Scout",Green,Deck,3,Character,Adventurer,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",2,2,"quest, enter, reorder",FALSE,1,TRUE,"Whenever you gain Quest counters, look at the top card of your deck. You may put it at the bottom of your deck.",dcs_01_020_n
dcs_01_021n,DCS-01-021 N,"Shazi, Dancer of the Dunes",Green,Deck,3,Character,Adventurer,Dawn of the Celestial Shadow,2,3,"quest, enter, frazzle",FALSE,1,TRUE,"[ENTER]: [QUEST 1]
As long as this card has a Frazzle counter on it, it cannot be attacked.
FRAZZLE, FRAZZLE: Remove 1 Frazzle counter from target card.",dcs_01_021_n
sd_01_014n,SD-01-014 N,"Gwen, White Haired Witch",Green,Deck,3,Character,Mage,Structure Deck: the Hero's Journey,3,1,"barrier, shield, enter, quest, deal",FALSE,1,TRUE,"[BARRIER] [SHIELD 1]
[ENTER]: [QUEST 1], then deal up to X damage to target Character, where X is the number of Quest counters on your Protagonist.",sd_01_014_n
dcs_01_022n,DCS-01-022 N,Capital Duelist,Green,Deck,3,Character,Soldier,Dawn of the Celestial Shadow,3,2,"preemptive strike, preemptive defense",FALSE,1,FALSE,[PREEMPTIVE STRIKE] [PREEMPTIVE DEFENSE],dcs_01_022_n
dcs_01_023n,DCS-01-023 N,"Daryl, Guardian of the Sanctuary",Green,Deck,3,Character,Elf,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",2,3,"quest, enter, preemptive defense, deal",FALSE,1,TRUE,"[PREEMPTIVE DEFENSE]
[ENTER]: [QUEST 1], then deal up to X damage to target Scenography, where X is 2 plus the number of Quest counters on your Protagonist.",dcs_01_023_n
dcs_01_024n,DCS-01-024 N,Knight on Patrol,Green,Deck,3,Character,Soldier,Dawn of the Celestial Shadow,3,2,"assault, shield",FALSE,1,FALSE,[ASSAULT] [SHIELD 1],dcs_01_024_n
dcs_01_025n,DCS-01-025 N,"Torlfrig, Barbarian of North",Green,Deck,4,Character,Adventurer,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",2,5,"preemptive strike, enter, quest, buff",FALSE,1,TRUE,"[PREEMPTIVE STRIKE]
[ENTER]: [QUEST 1]
This card gets +1 ATK for each damage on it.",dcs_01_025_n
dcs_01_026n,DCS-01-026 N,"Lowen, Battle Elementalist",Green,Deck,4,Character,Mage,Dawn of the Celestial Shadow,3,2,"barrier, shield, enter, quest, frazzle, deal",FALSE,1,TRUE,"[BARRIER] [SHIELD 1]
[ENTER]: [QUEST 1]
FRAZZLE: Deal 1 damage to target Character.",dcs_01_026_n
dcs_01_027n,DCS-01-027 N,"Julia, Flame Paladin",Green,Deck,7,Character,Adventurer,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",4,4,"assault, buff, quest",FALSE,1,TRUE,"[ASSAULT]
This card gets +1 ATK and +1 HP for each Relic you control.
Whenever this card shatters an opposing Character while attacking, [QUEST 1], then remove 1 Frazzle counter from this card.",dcs_01_027_n
dcs_01_028n,DCS-01-028 N,"Floria, the King's Sword",Green,Deck,8,Character,Soldier,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",3,6,"preemptive strike, shield, buff",FALSE,1,TRUE,"[PREEMPTIVE STRIKE] [SHIELD 2]
This card gets +X ATK, where X is the highest ATK value among the other cards you control.",dcs_01_028_n
dcs_01_029n,DCS-01-029 N,"Kielta, Renegade Demon",Green,Deck,8,Character,Demon,Dawn of the Celestial Shadow,7,7,"enter, quest, breakthrough, deal, heal",FALSE,1,TRUE,"[ENTER]: [QUEST 2]
Remove 1 Quest counter from your Protagonist: Choose 1:
• This card gets [BREAKTHROUGH].
• Deal 1 damage to target Character.
• [HEAL 3] this card.",dcs_01_029_n
dcs_01_030n,DCS-01-030 N,"""Drunken Bear"" Inn",Green,Deck,1,Scenography,Building,Dawn of the Celestial Shadow,,4,heal,FALSE,1,TRUE,"Whenever a card you control shatters an opposing Character while attacking, [HEAL 2] that card.",dcs_01_030_n
dcs_01_031n,DCS-01-031 N,Hideout in the Swamp's Depths,Green,Deck,2,Scenography,Dungeon,Dawn of the Celestial Shadow,,8,"shatter, search, deal",FALSE,1,FALSE,"[SHATTER]: Search your deck for two Characters, reveal them, and add them to your hand.
Whenever you gain Quest counters, deal 1 damage to this card.",dcs_01_031_n
dcs_01_032n,DCS-01-032 N,Sanctuary of the Holy Sword,Green,Deck,6,Scenography,Dungeon,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",,4,"shatter, draw, deal, put into play",FALSE,1,FALSE,"[SHATTER]: Put Larendil, the Holy Sword from your Persona Deck into play, then draw 2 cards.
Whenever you gain Quest counters, deal 1 damage to this card.",dcs_01_032_n
dcs_01_033n,DCS-01-033 N,Forgotten Library,Green,Deck,6,Scenography,Dungeon,Dawn of the Celestial Shadow,,5,"shatter, worn, draw, deal, put into play",FALSE,1,FALSE,"[SHATTER]: Put a Relic without [WORN] from your Persona Deck into play, then draw 2 cards.
Whenever you gain Quest counters, deal 1 damage to this card.",dcs_01_033_n
dcs_01_034n,DCS-01-034 N,Night Watch,Green,Deck,1,Action,Action,Dawn of the Celestial Shadow,,,preemptive defense,FALSE,1,FALSE,Target Character you control gets [PREEMPTIVE DEFENSE] until end of turn.,dcs_01_034_n
dcs_01_035n,DCS-01-035 N,Against Adversity,Green,Deck,3,Action,Action,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",,,quest,FALSE,1,FALSE,"Choose 1:
• [QUEST X], where X is the number of opposing Characters.
• [QUEST 2]",dcs_01_035_n
dcs_01_036n,DCS-01-036 N,Heroic Destinies,Green,Deck,3,Action,Action,"Dawn of the Celestial Shadow, Structure Deck: the Hero's Journey",,,"quest, barrier, draw, buff",FALSE,1,FALSE,"Choose 1:
• [QUEST 1], then draw 1 card.
• Heroes you control get +1 ATK and [BARRIER] until end of turn.",dcs_01_036_n
dcs_01_037n,DCS-01-037 N,Hero's Strike,Green,Deck,5,Action,Action,Dawn of the Celestial Shadow,,,deal,FALSE,1,FALSE,Target Hero you control deals damage equal to its ATK to target card.,dcs_01_037_n
sd_01_021n,SD-01-021 N,Whirlpool Slash,Green,Deck,5,Action,Action,Structure Deck: the Hero's Journey,,,"deal, quest",FALSE,1,FALSE,"Target Hero you control deals damage equal to its ATK divided as you choose among any number of opposing Characters, then [QUEST X], where X is the number of Characters shattered this way.",sd_01_021_n
dcs_01_038n,DCS-01-038 N,Rest by Campfire,Green,Deck,7,Action,Action,Dawn of the Celestial Shadow,,,"heal, frazzle",FALSE,1,FALSE,"Remove X Frazzle counters from any number of target cards, then [HEAL X] divided as you choose among any number of target cards, where X is the number of Relic you control.",dcs_01_038_n
dcs_03_001ex,DCS-03-001 EX,"Meika, Mecha Engineer",Blue,Protagonist,4,Protagonist,Engineer,Dawn of the Celestial Shadow,,18,"game start, search, graveyard, put into play, obliviate",FALSE,1,TRUE,"[GAME START]: Search your deck for a Pilot that costs 2, reveal it, and add it to your hand.
Obliviate X Drone from your graveyard: Put target Mecha that costs equal or less than the sum of the costs of the Drones obliviated this way from your Persona Deck into play, then assign it to target Pilot you control. Activate this ability only during your main phase. The opponent cannot Respond.",dcs_03_001_ex
dcs_03_002ex,DCS-03-002 EX,"Morgan Takehashi, Blue Bolt",Blue,Protagonist,7,Protagonist,Pilot,"Dawn of the Celestial Shadow, Structure Deck: Time for Counterattack",,20,"pilot, pay, put into play",FALSE,1,TRUE,"[PILOT]: Piloted Mecha can attack the turn it comes into play.
Whenever the Mecha assigned to this card is obliviated or retired, this card takes damage equal to its cost.
PAY X: Put target Mecha that costs X from your Persona Deck into play.",dcs_03_002_ex
